프로그램;;first_name;last_name;nation;affiliation;image_path;
Symposium 9;;Richard;Kibbey;USA;Yale University, USA;/symposium_9/Symposium_9-1.png;/symposium_9/SYM9.pdf
Symposium 9;;Kyung-Hee;Kim;Korea;Incheon Sejong Hospital, Korea;/symposium_9/Symposium_9-2.png;/symposium_9/SYM9-2.pdf
Symposium 9;;Jonathan;Bennett;USA;University of Hawaii Cancer Center, USA;/symposium_9/Symposium_9-3.png;/symposium_9/SYM9-3.pdf
Symposium 10;;Emma;Fontvieille;France;International Agency for Research on Cancer, IARC/WHO, France;/symposium_10/Symposium_10-1-1.png;/symposium_10/SYM10.pdf
Symposium 10;;Thi Xuan Mai;Tran;Korea;Hanyang University, Korea;/symposium_10/Symposium_10-2.png;/symposium_10/SYM10-2.pdf
Symposium 10;;Wonsock;Kim;Korea;Eulji University, Korea;/symposium_10/Symposium_10-3.png;/symposium_10/SYM10-3.pdf
Symposium 11;;Wen;Peng;China;Qinghai University, China;/symposium_11/Symposium_11-1.png;/symposium_11/SYM11.pdf
Symposium 11;;Melissa;Ventura-Marra;USA;West Virginia University, USA;/symposium_11/Symposium_11-2.png;/symposium_11/SYM11-2.pdf
Symposium 11;;Shinok;Park;Korea;Noom Korea, Korea;/symposium_11/Symposium_11-3.png;/symposium_11/SYM11-3.pdf
Symposium 12 -1;;Sochung;Chung;Korea;Konkuk University, Korea;/symposium_12/Symposium_12-1.png;/symposium_12/SYM12.pdf
Symposium 12 -2;;Mary;Easaw;Malaysia;Cardiac Vascular Sentral Kuala Lumpur, Malaysia;/symposium_12/Symposium_12-2-1.png;/symposium_12/SYM12-2.pdf
Joint Symposium KSSO-EASO -1;;Jason;Halford;UK;University of Leeds, UK;/joint_symposium/Joint_Symposium_KSSO-EASO_1-1.png;/joint_symposium/joint_KSSO-EASO.pdf
EASO Presidential Lecture;;Volkan;Yumuk;Turkey;Istanbul University-Cerrahpaşa, Turkey;/Presidential_Lecture/EASO_Presidential_Lecture-1.png;/Presidential_Lecture/EASO_Presidential_lecture.pdf
Breakfast Symposium 4;;Chang Hee;Jung;Korea;University of Ulsan, Korea;/joint_symposium/Joint_Symposium_KSSO-EASO_2.png;/breakfast/BK4.pdf
Breakfast Symposium 5;;Jang Won;Son;Korea;The Catholic University of Korea, Korea;/breakfast/Breakfast_Symposium_5.png;/breakfast/BK5.pdf
Breakfast Symposium 6;;Seung-Hwan;Lee;Korea;The Catholic University of Korea, Korea;/breakfast/Breakfast_Symposium_6.png;/breakfast/BK6.pdf
Keynote Lecture 2;;Jean-Pierre;Després;Canada;VITAM – Research Centre on Sustainable Health, Canada;/keynote_lecture/Keynote_Lecture_2.png;/keynote_lecture/KEYNOTE_2.pdf
Symposium 13;;Seung-Jin;Kim;Korea;Kangwon National University, Korea;/symposium_13/Symposium_13-1.png;/symposium_13/SYM13.pdf
Symposium 13;;Hua;Wang;China;The First Affiliated Hospital of Anhui Medical University, China;/symposium_13/Symposium_13-2.png;/symposium_13/SYM13-2.pdf
Symposium 13;;Jun Hwa;Hong;Korea; Eulji University, Korea;/symposium_13/Symposium_13-3.png;/symposium_13/SYM13-3.pdf
Symposium 14 -2;;Marc;Hellerstein;USA;University of California, Berkeley, USA;/symposium_14/Symposium_14-2.png;/symposium_14/Symposium_14-2.png
Symposium 14 -3;;Il-Young;Kim;Korea;Gachon University, Korea;/symposium_14/Symposium_14-3.png;/symposium_14/Symposium_14-3.png
Symposium 15;;Yuri;Kim;Korea;Ewha Womans University, Korea;/symposium_15/Symposium_15-1.png;/symposium_15/SYM15.pdf
Symposium 15;;Yang;Hu;USA;Harvard T.H. Chan School of Public Health, USA;/symposium_15/Symposium_15-2.png;/symposium_15/SYM15-2.pdf
Symposium 15;;Hannah;Oh;Korea;Korea University, Korea;/symposium_15/Symposium_15-3.png;/symposium_15/SYM15-3.pdf
Symposium 16 -2;;Erika Bezerra;Parente;Germany;Boehringer Ingelheim, Germany;/symposium_16/Symposium_16-2.png;r/symposium_16/SYM16-2.pdf
Sponsored Session 3;;Jae Hyun;Bae;Korea;Korea University, Korea;/sponsored_session/Sponsored_Session_3-1.png;/sponsored_session/sponsor-3.pdf
Sponsored Session 3;;Jun Sung;Moon;Korea;Yeungnam University, Korea;/sponsored_session/Sponsored_Session_3-2.png;/sponsored_session/sponsor-3-2.pdf
Sponsored Session 3;;Sun-Joon;Moon;Korea;Sungkyunkwan University, Korea;/sponsored_session/Sponsored_Session_3-3.png;/sponsored_session/sponsor-3-3.pdf
Presidential Lecture;;Cheol-Young;Park;Korea;Sungkyunkwan University, Korea;/Presidential_Lecture/Presidential_Lecture_1.png;/TBD.pdf
Luncheon Symposium 6;;Kyung Soo;Kim;Korea;CHA University, Korea;/luncheon/Luncheon_Symposium_6.png;/luncheon/LUNCHEON6.pdf
Luncheon Symposium 7;;Yong-Ho;Lee;Korea;Yonsei University, Korea;/luncheon/Luncheon_Symposium_7.png;/luncheon/LUNCHEON7.pdf
Luncheon Symposium 8;;;;;;;/TBD.pdf
Special Scientific Session 2;;Soo;Lim;Korea;Seoul National University, Korea;/special_scientific/Special_Scientific_Session_2-1.png;/special_scientific/Special_lecture2.pdf
Plenary Lecture 3;;William;Evans;USA;University of California, Berkeley, USA;/plenary_lecture/Plenary_Lecture_3.png;/plenary_lecture/PL3.pdf
Keynote Lecture 3;;Michael D.;Jensen;USA;Mayo College of Medicine, USA;/keynote_lecture/Keynote_Lecture_3.png;/keynote_lecture/KEYNOTE_3.pdf
Symposium 17;;Mi-Kyung;Kim;Korea;Keimyung University, Korea;/symposium_17/Symposium_17-1.png;/symposium_17/SYM17.pdf
Symposium 17;;Po-Chih;Chang;Taiwan;National Sun Yat-Sen University, Taiwan;/symposium_17/Symposium_17-2.png;/symposium_17/SYM17-2.pdf
Symposium 17;;Barbara;McGowan;UK;Guy's and St Thomas' NHS Foundation Trust, UK;/symposium_17/Symposium_17-3-1.png;/symposium_17/SYM17-3.pdf
Symposium 18;;Joe Eun;Son;Korea;Kyungpook National University, Korea;/symposium_18/Symposium_18-1.png;/symposium_18/SYM18.pdf
Symposium 18;;Chen;Ran;USA;The Scripps Research Institute, USA;/symposium_18/Symposium_18-2.png;/symposium_18/SYM18-2.pdf
Symposium 18;;Cheng;Zhan;China;University of Science and Technology of China, China;/symposium_18/Symposium_18-3.png;/symposium_18/SYM18-3.pdf
Symposium 19;;Jihyun;Ahn;Korea;Kyeongin High School, Korea;/symposium_19/Symposium_19-1.png;/symposium_19/SYM19.pdf
Symposium 19;;Eunji;Nam;Korea;Incheon National University, Korea;/symposium_19/Symposium_19-2.png;/symposium_19/SYM19-2.pdf
Symposium 19;;Seung Eun;Jung;USA;The University of Alabama, USA;/symposium_19/Symposium_19-3.png;/symposium_19/SYM19-3.pdf
Symposium 20;;Oh Sung;Kwon;USA;University of Connecticut, USA;/symposium_20/Symposium_20-1.png;/symposium_20/SYM20.pdf
Symposium 20;;Jaehoon;Seol;Japan;University of Tsukuba, Japan;/symposium_20/Symposium_20-2.png;/symposium_20/SYM20-2.pdf
Symposium 20;;Min-Hwa;Suk;Korea;Hanyang University, Korea;/symposium_20/Symposium_20-3.png;/symposium_20/SYM20-3.pdf
Joint Symposium KSSO-TOS;;Marc-Andre;Cornier;USA;Medical University of South Carolina, USA;/joint_symposium/Joint_Symposium_KSSO-TOS-1.png;/joint_symposium/joint_KSSO-TOS.pdf
Joint Symposium KSSO-TOS;;Yu Mi;Kang;USA;Harvard Medical School, USA;/joint_symposium/Joint_Symposium_KSSO-TOS_2.png;/joint_symposium/joint_KSSO-TOS-2.pdf
Joint Symposium KSSO-TOS;;Robyn;Pashby;USA;Health Psychology Partners, USA;/joint_symposium/Joint_Symposium_KSSO-TOS-3-1.png;/joint_symposium/joint_KSSO-TOS-3.pdf
Plenary Lecture 4;;W. Timothy;Garvey;USA;University of Alabama at Birmingham, USA;/plenary_lecture/Plenary_Lecture_4.png;/plenary_lecture/PL4.pdf
symposium4-4;;Sae Won;Kim;Korea;ProGen Co. Ltd., Korea;/symposium_4/Symposium_4-4.png;/symposium_4/SYM4-4.pdf
